time, attx, atty, attz, accx, accy, accz, velx, vely, velz, locx, locy, locz
1468348072012802,0.00546836,0.017196,1.44859,0.0812757,-0.0540642,-0.108066,0.0299479,-0.0316558,-0.0637032,0.00473002,-0.00712709,-0.0136949,
1468348072022850,0.00574073,0.0171076,1.44767,0.0812757,-0.0540642,-0.108066,0.0307606,-0.0321964,-0.0647839,0.00503356,-0.00744636,-0.0143373,
1468348072032884,0.00553403,0.0171644,1.44591,0.0812757,0.0097868,-0.108066,0.0315734,-0.0324178,-0.0658645,0.00534523,-0.00776943,-0.0149905,
1468348072042920,0.00453185,0.0175459,1.44465,0.0812757,0.0391232,-0.108066,0.0323862,-0.0321733,-0.0669452,0.00566503,-0.00809238,-0.0156546,
1468348072052957,0.00302547,0.0181651,1.44352,0.0812757,0.0391232,-0.108066,0.0331989,-0.031782,-0.0680259,0.00599295,-0.00841216,-0.0163294,
1468348072062993,0.00146749,0.0188944,1.44305,0.0812757,0.0391232,-0.108066,0.0340117,-0.0313908,-0.0691065,0.00632901,-0.00872802,-0.0170151,
1468348072073030,0.000658697,0.0192842,1.44342,0.0812757,0.0391232,-0.108066,0.0348244,-0.0309996,-0.0701872,0.00667319,-0.00903998,-0.0177116,
1468348072083065,0.000311159,0.0194983,1.4446,0.0812757,0.0792726,-0.108066,0.0356372,-0.0304076,-0.0712678,0.0070255,-0.00934701,-0.0184189,
1468348072093104,0.000143038,0.0197501,1.44652,0.0812757,0.0792726,-0.108066,0.0364499,-0.0296149,-0.0723485,0.00738593,-0.00964712,-0.0191369,
1468348072103140,0.000209558,0.0197563,1.44956,0.112817,0.0792726,-0.108066,0.0374204,-0.0288221,-0.0734291,0.00775528,-0.00993931,-0.0198658,
1468348072113176,0.000626546,0.019362,1.45317,0.112817,0.0792726,-0.108066,0.0385486,-0.0280294,-0.0745098,0.00813513,-0.0102236,-0.0206055,
1468348072123222,0.00110067,0.0190178,1.45728,0.112817,0.0792726,-0.108066,0.0396767,-0.0272367,-0.0755904,0.00852626,-0.0104999,-0.021356,
1468348072133270,0.00140984,0.0187101,1.46001,0.112817,0.0792726,-0.108066,0.0408049,-0.026444,-0.0766711,0.00892866,-0.0107683,-0.0221173,
1468348072143305,0.00136767,0.0187862,1.46058,0.112817,0.0792726,-0.108066,0.0419331,-0.0256512,-0.0777518,0.00934235,-0.0110288,-0.0228894,
1468348072153341,0.00105822,0.0191914,1.45933,0.112817,0.0693911,-0.108066,0.0430612,-0.0249079,-0.0788324,0.00976732,-0.0112816,-0.0236724,
1468348072163377,0.000773564,0.0199461,1.45824,0.107673,0.0117267,-0.108066,0.0441637,-0.0245023,-0.0799131,0.0102034,-0.0115286,-0.0244661,
1468348072173412,0.00129636,0.0209822,1.45903,0.150261,-0.105932,-0.0400803,0.0454534,-0.0249734,-0.0806538,0.0106515,-0.011776,-0.0252689,
1468348072183447,0.00246537,0.0224023,1.46211,0.116726,-0.105932,0.018908,0.0467883,-0.0260327,-0.0807597,0.0111127,-0.012031,-0.026076,
1468348072193483,0.00290395,0.0247357,1.4647,0.0844595,-0.0680988,0.06473,0.0477942,-0.0269028,-0.0803415,0.0115857,-0.0122957,-0.0268815,
1468348072203518,0.00291614,0.0273633,1.46709,0.0844595,-0.106305,0.06473,0.0486388,-0.0277749,-0.0796942,0.0120678,-0.0125691,-0.0276817,
1468348072213555,0.00286383,0.0290951,1.46918,0.11022,-0.170157,0.06473,0.0496122,-0.0291572,-0.0790469,0.0125591,-0.0128538,-0.0284754,
