time, axm_ori, aym_ori, azm_ori, axl_ori, ayl_ori, azl_ori, axm, aym, azm, axl, ayl, azl, acc1x, acc1y, acc1z, acc2x, acc2y, acc2z, acc3x, acc3y, acc3z
1468176032935290,-0.00927734,0.0146484,0.910645,0.00366,0.046848,0.983808,0.00442266,0.00194844,0.973645,-0.00094,0.021748,0.988108,0,0,0,0,0,0,0,0,0,
1468176032942163,-0.0126953,0.0205078,0.928223,0.002928,0.046848,0.97356,0.00100469,0.00780781,0.991223,-0.001672,0.021748,0.97786,0,0,0,0,0,0,0,0,0,
1468176032949495,-0.00830078,0.0234375,0.924805,0.002196,0.046848,0.974292,0.00539922,0.0107375,0.987805,-0.002404,0.021748,0.978592,0,0,0,0,0,0,0,0,0,
1468176032957156,-0.0126953,0.0209961,0.922852,0.002196,0.046848,0.980148,0.00100469,0.00829609,0.985852,-0.002404,0.021748,0.984448,0,0,0,0,0,0,0,0,0,
1468176032963243,-0.0175781,0.0126953,0.918457,0.00366,0.048312,0.975756,-0.00387812,-4.68735e-06,0.981457,-0.00094,0.023212,0.980056,0,0,0,0,0,0,0,0,0,
1468176032969302,-0.0141602,0.019043,0.929688,0.00366,0.045384,0.972828,-0.000460156,0.00634297,0.992688,-0.00094,0.020284,0.977128,0,0,0,0,0,0,0,0,0,
1468176032975362,-0.0136719,0.0151367,0.919922,0.000732,0.045384,0.978684,2.81241e-05,0.00243672,0.982922,-0.003868,0.020284,0.982984,0,0,0,0,0,0,0,0,0,
1468176032981422,-0.015625,0.0224609,0.92334,0.002196,0.045384,0.970632,-0.001925,0.00976094,0.98634,-0.002404,0.020284,0.974932,0,0,0,0,0,0,0,0,0,
1468176032987483,-0.00585938,0.015625,0.933105,-0,0.046848,0.97722,0.00784063,0.002925,0.996105,-0.0046,0.021748,0.98152,0,0,0,0,0,0,0,0,0,
1468176032993543,-0.0200195,0.0214844,0.908203,0.001464,0.053436,0.977952,-0.00631953,0.00878438,0.971203,-0.003136,0.028336,0.982252,0,0,0,0,0,0,0,0,0,
1468176032999602,-0.012207,0.0219727,0.924805,-0.002928,0.046116,0.976488,0.00149297,0.00927266,0.987805,-0.007528,0.021016,0.980788,0,0,0,0,0,0,0,0,0,
1468176033005662,-0.0131836,0.0253906,0.933594,-0.002928,0.054168,0.98454,0.000516406,0.0126906,0.996594,-0.007528,0.029068,0.98884,0,0,0,0,0,0,0,0,0,
1468176033014710,-0.0146484,0.0214844,0.936523,-0.00366,0.042456,0.982344,-0.000948437,0.00878438,0.999523,-0.00826,0.017356,0.986644,0,0,0,0,0,0,0,0,0,
